Company_ID,total_transactions,total_quantity,avg_quantity,total_spend,avg_order_value,unique_products,last_purchase_date,first_purchase_date,recency_days,tenure_days,txn_per_30days,Company_Name,Company_Profit,Company_Profit_Log,City,Top_Product,purchase_label
1,12,135.0,11.25,18382599.36156506,1531883.2801304215,9,2024-07-10,2020-12-08,110,1420,0.2535211267605634,Tech  Enterprises  1,80701.0,11.298518637098402,Pasig,DataBridge Integration Tool,0
2,19,183.0,9.63157894736842,26144936.992773004,1376049.3154091055,10,2024-08-14,2021-01-15,75,1382,0.4124457308248914,Global  Partners  2,80511.0,11.296161520620055,Taguig,EcoNomix Modeler,0
3,15,184.0,12.266666666666667,26149685.93733008,1743312.395822005,10,2024-07-01,2020-12-23,119,1405,0.3202846975088967,Quantum Associates 3,110664.0,11.614262898876143,Pasig,InsightMax Insights Platform,0
4,22,218.0,9.909090909090908,32723937.41065791,1487451.7004844504,16,2024-07-26,2020-12-17,94,1411,0.4677533664068037,Prime Network 4,74653.0,11.220619384920948,Taguig,RevenueVue Dashboard,0
5,9,82.0,9.11111111111111,11184934.08144079,1242770.453493421,8,2024-10-25,2020-11-27,3,1431,0.1886792452830188,Elite  Ventures  5,69427.0,11.148045523340771,Makati,CustomerScope Insights,1
6,21,228.0,10.857142857142858,30649721.284578424,1459510.5373608773,12,2024-04-29,2021-03-14,182,1324,0.4758308157099697,,,,,Product 9,0
7,15,145.0,9.666666666666666,19864374.468649138,1324291.6312432757,11,2024-06-26,2021-01-17,124,1380,0.3260869565217391,Dynamic Solutions 7,36661.0,10.50949607527931,Pasig,BudgetMaster Pro,0
8,20,247.0,12.35,36494378.83318368,1824718.9416591837,13,2024-09-18,2020-11-19,40,1439,0.4169562195969423,,,,,OptiFlow Automation,0
9,16,207.0,12.9375,27712802.287449803,1732050.1429656127,11,2024-09-21,2020-11-24,37,1434,0.3347280334728034,Global Enterprises 9,96046.0,11.472592933976488,pasig,BudgetMaster Pro,0
10,13,144.0,11.076923076923077,18322558.315421704,1409427.5627247463,10,2024-09-17,2020-12-11,41,1417,0.2752293577981651,Pioneer Network 10,65200.0,11.08523008522044,Mandaluyong,NexGen Segmentator,0
11,19,240.0,12.63157894736842,31091627.362212263,1636401.4401164348,13,2024-09-05,2021-03-28,53,1310,0.4351145038167939,Dynamic Ventures 11,97442.0,11.487022870647118,Quezon City,FinPredictor Suite,0
12,19,186.0,9.789473684210526,25437431.125439446,1338812.164496813,13,2023-12-11,2020-12-20,322,1408,0.4048295454545454,Quantum Network 12,91671.0,11.425972268106284,Mandaluyong,EcoNomix Modeler,0
13,22,245.0,11.136363636363637,32282756.118013255,1467398.005364239,11,2024-02-05,2020-11-08,266,1450,0.4551724137931034,Quantum  Enterprises  13,88168.0,11.387010706290544,Makati,FinPredictor Suite,0
14,21,238.0,11.333333333333334,34423649.402486585,1639221.4001184087,14,2024-08-03,2021-03-27,86,1311,0.4805491990846681,,,,,SalesSync Optimizer,0
15,22,235.0,10.681818181818182,29405413.63976323,1336609.7108983286,13,2024-03-27,2020-11-27,215,1431,0.4612159329140461,Innovative Enterprises 15,111984.0,11.626120212736572,Taguig,BudgetMaster Pro,0
16,23,239.0,10.391304347826088,30680868.75444608,1333950.815410699,14,2024-09-26,2021-02-08,32,1358,0.508100147275405,Green  Corp  16,67696.0,11.122797144772276,Taguig,NexGen Segmentator,0
17,18,213.0,11.833333333333334,29977593.173216917,1665421.8429564957,12,2024-04-17,2020-12-28,194,1400,0.3857142857142857,Dynamic Solutions 17,100246.0,11.515392419534017,baguio,NexGen Segmentator,0
18,18,223.0,12.38888888888889,29137208.693058234,1618733.816281013,12,2024-03-23,2020-11-04,219,1454,0.3713892709766162,,,,,SegmentX Targeting,0
19,21,215.0,10.238095238095235,27778235.593980696,1322773.1235228905,11,2024-10-28,2020-11-16,0,1442,0.4368932038834951,Innovative Consulting 19,45583.0,10.72731205673769,Baguio,Product 9,1
20,22,213.0,9.681818181818182,26079200.0,1185418.181818182,16,2024-05-22,2021-02-01,159,1365,0.4835164835164835,Pioneer Consulting 20,112720.0,11.63267101807331,parañaque,NexGen Segmentator,0
21,20,233.0,11.65,35077645.63749124,1753882.281874562,12,2024-09-20,2020-12-11,38,1417,0.4234297812279463,Dynamic Enterprises 21,74653.0,11.220619384920948,Davao City,DashSync Analytics Hub,0
22,23,247.0,10.73913043478261,31150770.81095253,1354381.3396066318,15,2024-10-20,2021-03-23,8,1315,0.5247148288973383,Sky Ent.s 22,54853.0,10.912430389206651,Pasig,EcoNomix Modeler,1
23,17,170.0,10.0,25222084.55806718,1483652.0328274812,12,2024-08-27,2021-02-17,62,1349,0.3780578206078576,Prime Corp 23,74653.0,11.220619384920948,manila,ForecastXcelerator ,0
24,15,217.0,14.466666666666669,29502815.26444277,1966854.3509628512,11,2024-07-20,2020-11-26,100,1432,0.3142458100558659,Tech  Solutions  24,89757.0,11.404872438868356,Mandaluyong,CustomerScope Insights,0
25,19,234.0,12.31578947368421,32960033.921955984,1734738.6274713676,13,2024-08-01,2021-01-12,88,1385,0.4115523465703971,Green Holdings 25,36659.0,10.509441521393695,Pasig,MarketMinder Analytics,0
26,15,135.0,9.0,23409862.47753956,1560657.4985026373,8,2024-09-08,2021-01-04,50,1393,0.3230437903804738,Tech Associates 26,31238.0,10.349422593198003,manila,RealTime Revenue,0
27,17,180.0,10.588235294117649,25342367.01570883,1490727.4715122844,13,2024-10-27,2021-03-25,1,1313,0.3884234577303884,Elite Corp 27,45064.0,10.715861170990513,Pasig,MarketMinder Analytics,1
28,19,239.0,12.578947368421051,32932341.197389845,1733281.1156520972,12,2024-10-24,2020-12-12,4,1416,0.4025423728813559,,,,,MarketMinder Analytics,1
29,17,184.0,10.823529411764708,24521629.183530223,1442448.775501778,13,2024-06-16,2020-11-01,134,1457,0.3500343170899107,Sky  Industries  29,61952.0,11.0341313120349,makati,RealTime Revenue,0
30,20,239.0,11.95,32219175.01616308,1610958.750808154,12,2024-10-14,2020-11-05,14,1453,0.4129387474191328,Quantum Holdings 30,35620.0,10.480690630565247,Pasig,RevenueVue Dashboard,1
31,13,136.0,10.461538461538462,19373935.178481936,1490302.706037072,10,2024-03-01,2020-11-05,241,1453,0.2684101858224363,Sky Consulting 31,74258.0,11.215314261440565,Mandaluyong,Product 9,0
32,17,209.0,12.294117647058824,30270713.07152321,1780630.1806778358,12,2024-08-25,2020-12-16,64,1412,0.3611898016997167,Prime  Consulting  32,34470.0,10.44787366982408,quezon city,RealTime Revenue,0
33,19,196.0,10.31578947368421,25596870.06197941,1347203.6874726005,11,2024-10-27,2020-11-30,1,1428,0.3991596638655462,Green  Consulting  33,52003.0,10.85907591768206,mandaluyong,RevenueVue Dashboard,1
34,15,135.0,9.0,16171554.47516514,1078103.631677676,11,2024-10-08,2020-11-12,20,1446,0.3112033195020747,Pioneer Corp 34,57571.0,10.96079161738256,makati,OptiFlow Automation,1
35,18,183.0,10.166666666666666,24540037.420827445,1363335.412268191,11,2024-09-19,2020-11-17,39,1441,0.3747397640527412,Tech  Network  35,54668.0,10.909052100154163,Davao City,DataBridge Integration Tool,0
36,14,160.0,11.428571428571429,20004615.330551628,1428901.095039402,9,2024-08-26,2020-11-23,63,1435,0.2926829268292683,,,,,SegmentX Targeting,0
37,9,79.0,8.777777777777779,11542230.073527614,1282470.0081697349,7,2024-09-21,2021-08-23,37,1162,0.2323580034423407,Prime Holdings 37,62046.0,11.03564744135758,Mandaluyong,RealTime Revenue,0
38,18,124.0,6.888888888888889,14793143.496944925,821841.3053858292,13,2024-08-03,2021-01-10,86,1387,0.3893294881038212,Sky Network 38,100977.0,11.522657950314608,Makati,TrendWise Forecaster,0
39,19,196.0,10.31578947368421,28431456.78535521,1496392.4623871164,12,2024-09-25,2021-02-21,33,1345,0.4237918215613382,Prime  Consulting  39,107255.0,11.582973779281398,Davao City,MarketMinder Analytics,0
40,19,201.0,10.578947368421051,29912526.041407906,1574343.475863574,12,2024-06-30,2021-01-25,120,1372,0.4154518950437317,,,,,RevenueVue Dashboard,0
41,21,235.0,11.19047619047619,32961274.966746565,1569584.522226027,12,2024-10-09,2020-11-12,19,1446,0.4356846473029045,Sky Partners 41,74653.0,11.220619384920948,Pasig,DashSync Analytics Hub,1
42,17,171.0,10.058823529411764,17650037.574658543,1038237.504391679,9,2024-07-15,2021-03-14,105,1324,0.3851963746223565,Sky  Holdings  42,52233.0,10.863488902836416,Baguio,Product 9,0
43,19,225.0,11.842105263157896,29408555.43035093,1547818.7068605751,13,2024-10-12,2020-12-14,16,1414,0.4031117397454031,Quantum Network 43,113336.0,11.638120960342066,Cebu City,DashSync Analytics Hub,1
44,16,201.0,12.5625,25445293.45655221,1590330.8410345132,11,2024-07-29,2021-03-07,91,1331,0.3606311044327573,Tech  Solutions  44,74653.0,11.220619384920948,cebu city,SegmentX Targeting,0
45,22,212.0,9.636363636363637,28562811.69689745,1298309.6225862475,15,2024-08-29,2021-01-07,60,1390,0.4748201438848921,Prime Industries 45,99726.0,11.510191731724172,Mandaluyong,Product 9,0
46,15,177.0,11.8,21121863.380105287,1408124.2253403524,11,2024-10-20,2020-11-28,8,1430,0.3146853146853147,Dynamic Ventures 46,93219.0,11.442717569926732,Pasig,BudgetMaster Pro,1
47,7,88.0,12.571428571428571,9508800.0,1358400.0,6,2024-01-04,2021-04-30,298,1277,0.1644479248238057,Green  Industries  47,31130.0,10.345959386273387,Mandaluyong,EcoNomix Modeler,0
48,17,186.0,10.941176470588236,20396389.143200472,1199787.5966588513,11,2024-10-20,2020-11-25,8,1433,0.3558967201674808,Global  Corp  48,74653.0,11.220619384920948,cebu city,SalesSync Optimizer,1
49,30,348.0,11.6,47937819.693971,1597927.3231323666,16,2024-10-11,2021-01-30,17,1367,0.6583760058522311,Tech Holdings 49,115517.0,11.65718164095739,quezon city,Product 9,1
50,25,274.0,10.96,40533031.173237965,1621321.2469295186,15,2024-06-15,2020-11-10,135,1448,0.5179558011049724,Sky Associates 50,32118.0,10.377203034325737,Baguio,ForecastXcelerator ,0
51,20,228.0,11.4,29525671.960600454,1476283.5980300228,10,2024-10-13,2020-11-12,15,1446,0.4149377593360995,Global  Holdings  51,30663.0,10.33084460706039,Cebu City,CustomerScope Insights,1
52,14,142.0,10.142857142857142,18445971.001199484,1317569.3572285343,11,2024-05-20,2020-11-16,161,1442,0.2912621359223301,,,,,DataBridge Integration Tool,0
53,18,255.0,14.166666666666666,33365915.760762416,1962700.9271036717,12,2024-08-08,2021-02-20,81,1346,0.4011887072808321,Global Partners 53,74653.0,11.220619384920948,Manila,RevenueVue Dashboard,0
54,10,56.0,5.6,7778274.069149854,777827.4069149854,9,2024-06-30,2020-11-22,120,1436,0.2089136490250696,Innovative Network 54,111271.0,11.619732933286969,Quezon City,RealTime Revenue,0
55,12,81.0,6.75,10100648.889420034,841720.7407850028,9,2024-08-26,2021-01-07,63,1390,0.2589928057553957,Innovative Holdings 55,49158.0,10.80281522173182,taguig,SalesSync Optimizer,0
56,19,194.0,10.210526315789474,26074262.738384712,1372329.6178097215,13,2024-09-28,2020-12-16,30,1412,0.4036827195467422,Pioneer  Ent.s  56,61087.0,11.020070726525477,Taguig,MarketMinder Analytics,1
57,16,134.0,8.375,18124420.976786375,1132776.3110491484,11,2024-05-20,2020-11-21,161,1437,0.3340292275574112,Pioneer Corp 57,118114.0,11.67941400512786,parañaque,RevenueVue Dashboard,0
58,10,92.0,9.2,10968820.619652657,1096882.0619652655,8,2024-10-11,2020-11-14,17,1444,0.2077562326869806,Tech Ventures 58,83121.0,11.328064687081325,Pasig,InsightMax Insights Platform,1
