year_month,monthly_sales,txn_count,total_quantity,unique_products,avg_unit_price,year,month,quarter,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_6,sales_roll_mean_3,sales_roll_mean_6,sales_roll_std_3
2021-04-01,59946030.623318,38,473.0,19,126695.72892781509,2021,4,2,61395413.61055671,43629726.505629845,56831807.12343062,4849600.0,53952315.74653906,44154287.45957153,9226240.432577929
2021-05-01,51639251.824329644,36,416.0,19,129656.98605903238,2021,5,2,59946030.623318,61395413.61055671,43629726.505629845,60165285.87942037,54990390.24650153,53337025.8967912,9865276.896052713
2021-06-01,60673564.95925982,39,434.0,16,138791.84235744772,2021,6,2,51639251.824329644,59946030.623318,61395413.61055671,38053891.63839166,57660232.01940145,51916020.22094274,5264440.107267759
2021-07-01,54782210.01468663,37,430.0,17,132002.94818919586,2021,7,3,60673564.95925982,51639251.824329644,59946030.623318,56831807.12343062,57419615.80230249,55685965.77442077,5019141.59402562
2021-08-01,52383097.36925349,34,382.0,18,133737.347681179,2021,8,3,54782210.01468663,60673564.95925982,51639251.824329644,43629726.505629845,55698342.26609203,55344366.256296776,4586303.21517688
2021-09-01,44776151.11300341,31,380.0,16,121014.71585524837,2021,9,3,52383097.36925349,54782210.01468663,60673564.95925982,61395413.61055671,55946290.78106665,56803261.40023404,4266060.974508949
2021-10-01,59744457.68366985,39,429.0,17,139317.80857342298,2021,10,4,44776151.11300341,52383097.36925349,54782210.01468663,59946030.623318,50647152.83231451,54033384.31730849,5224024.431650835
2021-11-01,62103231.070143074,36,430.0,16,142154.3294347554,2021,11,4,59744457.68366985,44776151.11300341,52383097.36925349,51639251.824329644,52301235.38864225,53999788.827367134,7484489.056459786
2021-12-01,39346249.49157172,22,301.0,13,132260.1329030858,2021,12,4,62103231.070143074,59744457.68366985,44776151.11300341,60673564.95925982,55541279.95560545,55743785.368336044,9397177.885969289
2022-01-01,65678927.663705766,32,433.0,18,145343.77537543845,2022,1,1,39346249.49157172,62103231.070143074,59744457.68366985,54782210.01468663,53731312.748461545,52189232.790388025,12513532.141275102
2022-02-01,53702477.52585946,31,395.0,14,137993.46559305402,2022,2,1,65678927.663705766,39346249.49157172,62103231.070143074,52383097.36925349,55709469.408473514,54005352.39855788,14283298.851069832
2022-03-01,44920781.93601289,29,314.0,17,140547.57290979542,2022,3,1,53702477.52585946,65678927.663705766,39346249.49157172,44776151.11300341,52909218.22704565,54225249.091325544,13184249.321279624
2022-04-01,60657289.84999866,37,457.0,16,138286.48068107196,2022,4,2,44920781.93601289,53702477.52585946,65678927.663705766,59744457.68366985,54767395.70852604,54249354.22849379,10419966.005936101
2022-05-01,63623247.05321542,37,460.0,17,138571.93190045148,2022,5,2,60657289.84999866,44920781.93601289,53702477.52585946,62103231.070143074,53093516.43729033,54401492.92288192,7885908.035050734
2022-06-01,59451293.316964686,46,432.0,18,132957.6999916169,2022,6,2,63623247.05321542,60657289.84999866,44920781.93601289,39346249.49157172,56400439.61307565,54654828.92006066,10051673.035855168
2022-07-01,52382298.01083478,31,381.0,15,138284.5806588793,2022,7,3,59451293.316964686,63623247.05321542,60657289.84999866,65678927.663705766,61243943.40672625,58005669.55762615,2146956.2853187276
2022-08-01,46330105.11210152,27,305.0,15,146811.4219699948,2022,8,3,52382298.01083478,59451293.316964686,63623247.05321542,53702477.52585946,58485612.79367163,55789564.61548098,5682353.2095558755
2022-09-01,55922086.48162657,37,387.0,18,139683.0489090438,2022,9,3,46330105.11210152,52382298.01083478,59451293.316964686,44920781.93601289,52721232.14663366,54560835.87985466,6567157.089499793
2022-10-01,70851526.2009369,46,528.0,16,132274.12954144395,2022,10,4,55922086.48162657,46330105.11210152,52382298.01083478,60657289.84999866,51544829.86818763,56394386.63745693,4850519.695433743
2022-11-01,52470897.10504534,31,417.0,18,127372.71046367471,2022,11,4,70851526.2009369,55922086.48162657,46330105.11210152,63623247.05321542,57701239.264888324,58093426.02927998,12357146.172301922
