Transaction_ID,Company_ID,Product_ID,Quantity,Transaction_Date,Product_Price,Total_Cost,Product_Name
6.0,80,11,4.0,2021-07-12,160658.67535045007,627200.0,OptiFlow Automation
,57,10,6.0,2022-07-10,89600.0,627200.0,SegmentX Targeting
24.0,70,1,19.0,2021-05-03,145162.09735915158,2660000.0,FinPredictor Suite
34.0,92,8,11.0,2024-02-27,141578.710505847,1814400.0,
36.0,71,20,3.0,2022-05-19,224000.0,672000.0,FinSphere Intelligence Suite
38.0,67,2,13.0,2024-08-05,184039.0226478925,2016000.0,MarketMinder Analytics
39.0,20,1,12.0,2024-05-22,148830.09486159886,1820000.0,FinPredictor Suite
43.0,91,6,13.0,2022-10-31,187921.9707563237,2150400.0,RevenueVue Dashboard
45.0,36,9,10.0,2024-08-26,116233.10484205802,1008000.0,Product 9
47.0,50,18,11.0,2024-03-14,141498.8995613937,1478400.0,DashSync Analytics Hub
54.0,19,10,10.0,2023-08-24,89600.0,896000.0,SegmentX Targeting
58.0,28,2,16.0,2024-09-09,184595.10426175897,2688000.0,MarketMinder Analytics
62.0,30,2,7.0,2024-01-01,154604.60558444785,1008000.0,MarketMinder Analytics
65.0,5,2,3.0,2022-12-21,170103.4952340756,504000.0,MarketMinder Analytics
,82,19,5.0,2024-09-19,98348.0987085968,571200.0,EcoNomix Modeler
77.0,17,4,9.0,2022-02-26,134913.4726420455,1232000.0,CustomerScope Insights
80.0,91,18,17.0,2021-09-10,147779.8506633818,2284800.0,DashSync Analytics Hub
88.0,49,4,5.0,2022-11-07,123200.0,492800.0,CustomerScope Insights
108.0,77,8,3.0,2022-11-06,137641.7614919734,412925.28447592014,
,75,3,1.0,2024-10-14,105417.36026541964,100800.0,TrendWise Forecaster
117.0,61,7,9.0,2020-12-01,151139.15595824635,1512000.0,DataBridge Integration Tool
120.0,38,9,6.0,2024-02-06,115681.41372102968,560000.0,Product 9
125.0,29,17,12.0,2020-11-01,170160.19274658096,1848000.0,RealTime Revenue
134.0,51,15,3.0,2023-05-02,107741.13064878792,323223.3919463637,NexGen Segmentator
149.0,62,12,18.0,2021-10-30,85902.82884460222,1546250.91920284,BudgetMaster Pro
152.0,14,13,9.0,2024-01-11,208430.22700451245,1764000.0,ForecastXcelerator 
153.0,53,14,5.0,2024-08-01,118864.33997906873,594321.6998953436,InsightMax Insights Platform
160.0,55,11,4.0,2023-10-19,162599.63724409652,650398.5489763861,OptiFlow Automation
164.0,57,16,5.0,2023-06-25,96094.057362997,532000.0,
167.0,80,9,15.0,2024-01-10,106817.0972003646,1568000.0,Product 9
,90,1,6.0,2023-12-28,136282.2195380804,980000.0,FinPredictor Suite
,80,16,20.0,2022-05-22,115386.77343731456,2021600.0,
183.0,26,11,3.0,2022-10-10,154776.31624967942,464328.9487490383,OptiFlow Automation
201.0,67,14,4.0,2022-10-18,128800.0,515200.0,InsightMax Insights Platform
,59,18,13.0,2021-01-07,142599.77138049103,1612800.0,DashSync Analytics Hub
212.0,87,13,16.0,2021-01-23,211328.0593463328,3332000.0,ForecastXcelerator 
222.0,6,3,9.0,2021-10-21,95264.50205000142,907200.0,TrendWise Forecaster
223.0,41,8,12.0,2021-07-14,138968.3857767312,1663200.0,
224.0,32,3,17.0,2021-03-04,93527.21565264826,1612800.0,TrendWise Forecaster
226.0,18,16,14.0,2023-08-31,113497.5603310924,1596000.0,
227.0,19,14,2.0,2024-02-17,128800.0,257600.0,InsightMax Insights Platform
236.0,30,3,10.0,2021-06-13,108277.85219292431,1008000.0,TrendWise Forecaster
237.0,83,18,4.0,2023-11-30,133002.4178412807,537600.0,DashSync Analytics Hub
239.0,96,1,15.0,2022-07-11,144531.3584221865,1960000.0,FinPredictor Suite
243.0,100,14,6.0,2024-10-16,131782.42301984556,790694.5381190734,InsightMax Insights Platform
250.0,37,17,17.0,2024-09-21,172537.17980104068,2856000.0,RealTime Revenue
263.0,44,18,5.0,2021-04-07,134400.0,806400.0,DashSync Analytics Hub
267.0,71,13,13.0,2023-08-15,196000.0,2548000.0,ForecastXcelerator 
268.0,68,15,12.0,2024-08-17,100800.0,1209600.0,NexGen Segmentator
292.0,97,14,7.0,2023-07-20,120434.77960665588,843043.4572465911,InsightMax Insights Platform
294.0,80,6,15.0,2024-01-31,194779.14141339436,2867200.0,RevenueVue Dashboard
310.0,90,20,2.0,2023-12-15,241461.3727878062,482922.7455756124,FinSphere Intelligence Suite
320.0,93,10,11.0,2022-10-04,96047.73116671357,896000.0,SegmentX Targeting
330.0,23,2,18.0,2021-02-17,154294.7653713449,2856000.0,MarketMinder Analytics
336.0,2,5,15.0,2021-12-15,85929.9712656287,1344000.0,SalesSync Optimizer
338.0,90,9,5.0,2023-09-17,116048.83055326113,672000.0,Product 9
351.0,27,1,12.0,2023-04-03,143468.37807698335,1721620.5369238001,FinPredictor Suite
361.0,93,3,20.0,2022-11-16,91156.79418428092,2016000.0,TrendWise Forecaster
