Company_ID,total_transactions,total_quantity,avg_quantity,total_spend,avg_order_value,unique_products,last_purchase_date,first_purchase_date,recency_days,tenure_days,txn_per_30days,Company_Name,Company_Profit,Company_Profit_Log,City,Top_Product
1,12,135.0,11.25,18382599.36156506,1531883.2801304217,9,2024-07-10,2020-12-08,110,1420,0.2535211267605634,Tech  Enterprises  1,80701.0,11.298518637098402,Pasig,DataBridge Integration Tool
2,19,183.0,9.631578947368421,26144936.992773004,1376049.3154091055,10,2024-08-14,2021-01-15,75,1382,0.41244573082489144,Global  Partners  2,80511.0,11.296161520620057,Taguig,EcoNomix Modeler
3,15,184.0,12.266666666666667,26149685.93733008,1743312.395822005,10,2024-07-01,2020-12-23,119,1405,0.32028469750889677,Quantum Associates 3,110664.0,11.614262898876145,Pasig,InsightMax Insights Platform
4,22,218.0,9.909090909090908,32723937.41065791,1487451.7004844504,16,2024-07-26,2020-12-17,94,1411,0.4677533664068037,Prime Network 4,74653.0,11.220619384920948,Taguig,RevenueVue Dashboard
5,9,82.0,9.11111111111111,11184934.08144079,1242770.453493421,8,2024-10-25,2020-11-27,3,1431,0.18867924528301885,Elite  Ventures  5,69427.0,11.148045523340771,Makati,CustomerScope Insights
6,21,228.0,10.857142857142858,30649721.284578424,1459510.5373608773,12,2024-04-29,2021-03-14,182,1324,0.47583081570996977,,,,,Product 9
7,15,145.0,9.666666666666666,19864374.468649134,1324291.6312432757,11,2024-06-26,2021-01-17,124,1380,0.32608695652173914,Dynamic Solutions 7,36661.0,10.50949607527931,Pasig,BudgetMaster Pro
8,20,247.0,12.35,36494378.833183676,1824718.9416591837,13,2024-09-18,2020-11-19,40,1439,0.4169562195969423,,,,,OptiFlow Automation
9,16,207.0,12.9375,27712802.287449803,1732050.1429656127,11,2024-09-21,2020-11-24,37,1434,0.3347280334728034,Global Enterprises 9,96046.0,11.472592933976488,pasig,BudgetMaster Pro
10,13,144.0,11.076923076923077,18322558.315421704,1409427.5627247465,10,2024-09-17,2020-12-11,41,1417,0.27522935779816515,Pioneer Network 10,65200.0,11.08523008522044,Mandaluyong,NexGen Segmentator
11,19,240.0,12.631578947368421,31091627.362212263,1636401.4401164348,13,2024-09-05,2021-03-28,53,1310,0.4351145038167939,Dynamic Ventures 11,97442.0,11.487022870647118,Quezon City,FinPredictor Suite
12,19,186.0,9.789473684210526,25437431.125439446,1338812.164496813,13,2023-12-11,2020-12-20,322,1408,0.40482954545454547,Quantum Network 12,91671.0,11.425972268106284,Mandaluyong,EcoNomix Modeler
13,22,245.0,11.136363636363637,32282756.118013255,1467398.005364239,11,2024-02-05,2020-11-08,266,1450,0.4551724137931034,Quantum  Enterprises  13,88168.0,11.387010706290544,Makati,FinPredictor Suite
14,21,238.0,11.333333333333334,34423649.402486585,1639221.4001184087,14,2024-08-03,2021-03-27,86,1311,0.48054919908466814,,,,,SalesSync Optimizer
15,22,235.0,10.681818181818182,29405413.63976323,1336609.7108983286,13,2024-03-27,2020-11-27,215,1431,0.4612159329140461,Innovative Enterprises 15,111984.0,11.626120212736572,Taguig,BudgetMaster Pro
16,23,239.0,10.391304347826088,30680868.754446078,1333950.815410699,14,2024-09-26,2021-02-08,32,1358,0.508100147275405,Green  Corp  16,67696.0,11.122797144772276,Taguig,NexGen Segmentator
17,18,213.0,11.833333333333334,29977593.173216917,1665421.8429564955,12,2024-04-17,2020-12-28,194,1400,0.38571428571428573,Dynamic Solutions 17,100246.0,11.515392419534017,baguio,NexGen Segmentator
18,18,223.0,12.38888888888889,29137208.693058234,1618733.816281013,12,2024-03-23,2020-11-04,219,1454,0.3713892709766162,,,,,SegmentX Targeting
19,21,215.0,10.238095238095237,27778235.593980696,1322773.1235228903,11,2024-10-28,2020-11-16,0,1442,0.4368932038834951,Innovative Consulting 19,45583.0,10.72731205673769,Baguio,Product 9
20,22,213.0,9.681818181818182,26079200.0,1185418.1818181819,16,2024-05-22,2021-02-01,159,1365,0.4835164835164835,Pioneer Consulting 20,112720.0,11.63267101807331,parañaque,NexGen Segmentator
21,20,233.0,11.65,35077645.63749124,1753882.2818745621,12,2024-09-20,2020-12-11,38,1417,0.42342978122794633,Dynamic Enterprises 21,74653.0,11.220619384920948,Davao City,DashSync Analytics Hub
22,23,247.0,10.73913043478261,31150770.81095253,1354381.3396066318,15,2024-10-20,2021-03-23,8,1315,0.5247148288973383,Sky Ent.s 22,54853.0,10.912430389206653,Pasig,EcoNomix Modeler
23,17,170.0,10.0,25222084.55806718,1483652.0328274812,12,2024-08-27,2021-02-17,62,1349,0.37805782060785764,Prime Corp 23,74653.0,11.220619384920948,manila,ForecastXcelerator 
24,15,217.0,14.466666666666667,29502815.26444277,1966854.3509628514,11,2024-07-20,2020-11-26,100,1432,0.31424581005586594,Tech  Solutions  24,89757.0,11.404872438868356,Mandaluyong,CustomerScope Insights
25,19,234.0,12.31578947368421,32960033.921955984,1734738.6274713676,13,2024-08-01,2021-01-12,88,1385,0.41155234657039713,Green Holdings 25,36659.0,10.509441521393695,Pasig,MarketMinder Analytics
26,15,135.0,9.0,23409862.477539558,1560657.4985026373,8,2024-09-08,2021-01-04,50,1393,0.3230437903804738,Tech Associates 26,31238.0,10.349422593198005,manila,RealTime Revenue
